metrics.total_fit_duration,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_10,metrics.none_share,metrics.rtp_similarity_h_20,metrics.fit_duration_per_fold,metrics.total_run_time,metrics.prep_duration,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_15,metrics.rtp_eval_duration,metrics.nap_duration,metrics.nap_accuracy,metrics.process_stage_width,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_2,metrics.nap_eval_duration,metrics.n_process_stages,metrics.avg_pruned_patterns_per_stage,metrics.rtp_duration,metrics.avg_unpruned_patterns_per_stage,metrics.rtp_similarity_h_1,params.max_pattern_size_eval,params.train_pct,params.max_pattern_size_train,params.filter_sequences,params.ncores,params.prune_func,params.process_stage_width_percentage,params.weight,params.min_freq,params.base_cv_hash,params.random_seed,params.cv_folds,params.break_buffer,params.model_config,params.weights,params.task,params.selection_method,params.cv_hash,params.dataset
134.80540957674384,0.7436660378772586,0.5618568098688909,0.289943674211109,0.43889022804510897,26.961081915348768,14501795.763545707,1.8996326178312306,0.3420993957487809,0.11981359285338451,0.48897913786531,28.616160579398276,0.829648882523179,0.5608788216733869,97.4,0.6658924509888292,0.8062862233758035,0.11521188318729396,1.0,0.0,23.62334420643747,118.0,0.8876043645511285,3.0,0.8,21.0,1.0,1.0,,1.0,,0.01,1.4344402294866603e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,143444022948666033982143799886645320417_eps0_s0,BPI2012_C
134.80540957674384,0.7812757586622224,0.6118874730197392,0.289943674211109,0.4926017898908516,26.961081915348768,14502033.521405589,1.8996326178312306,0.3316758323883458,0.17509857189231243,0.5406843982378783,28.8773256406188,0.864745020121336,0.5515481517373133,97.4,0.7134971820983991,0.8310850779455686,0.11407385580241677,1.0,0.0,13.254736400395633,118.0,0.8976278305668611,5.0,0.8,21.0,1.0,1.0,,1.0,,0.01,1.4344402294866603e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,143444022948666033982143799886645320417_eps1_s0,BPI2012_C
134.80540957674384,0.781294877467836,0.6120084967368448,0.289943674211109,0.492920700890375,26.961081915348768,14502240.320116982,1.8996326178312306,0.3316758323883458,0.174977346840419,0.5409009358849364,28.926990129426123,0.9035431548953057,0.5515481517373133,97.4,0.7135398390329853,0.8310958669128521,0.11280604116618628,1.0,0.0,9.660659690201282,118.0,0.8976324239007092,7.0,0.8,21.0,1.0,1.0,,1.0,,0.01,1.4344402294866603e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,143444022948666033982143799886645320417_eps2_s0,BPI2012_C
134.80540957674384,0.781299307559406,0.6120337210969803,0.289943674211109,0.4929866450716697,26.961081915348768,14502437.988420893,1.8996326178312306,0.3316758323883458,0.17495876598708635,0.5409460100085941,28.774114436656237,0.9045716471970081,0.5515481517373133,97.4,0.7135493315925494,0.8310983114378028,0.11547061316668986,1.0,0.0,9.205896884202957,118.0,0.8976334620211768,11.0,0.8,21.0,1.0,1.0,,1.0,,0.01,1.4344402294866603e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,143444022948666033982143799886645320417_eps3_s0,BPI2012_C
134.80540957674384,0.781299307559406,0.6120337210969803,0.289943674211109,0.4929866450716697,26.961081915348768,14502634.95399484,1.8996326178312306,0.3316758323883458,0.17495876598708635,0.5409460100085941,28.80902458615601,0.9287596087902784,0.5515481517373133,97.4,0.7135493315925494,0.8310983114378028,0.11293887570500369,1.0,0.0,9.216935938969254,118.0,0.8976334620211768,17.0,0.8,21.0,1.0,1.0,,1.0,,0.01,1.4344402294866603e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,143444022948666033982143799886645320417_eps4_s0,BPI2012_C
134.80540957674384,0.781299307559406,0.6120337210969803,0.289943674211109,0.4929866450716697,26.961081915348768,14502831.69175924,1.8996326178312306,0.3316758323883458,0.17495876598708635,0.5409460100085941,28.896575953438877,0.9491037417203187,0.5515481517373133,97.4,0.7135493315925494,0.8310983114378028,0.11613579168915744,1.0,0.0,9.139508420601487,118.0,0.8976334620211768,21.0,0.8,21.0,1.0,1.0,,1.0,,0.01,1.4344402294866603e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,143444022948666033982143799886645320417_eps5_s0,BPI2012_C
134.61401060782373,0.9463391828766909,0.8953382251900613,0.034311269787992635,0.8129228641873241,26.922802121564747,14498445.384834558,2.0288969725370407,0.5220248376268873,0.16934368034031913,0.8550072947058895,57.18265258707106,4.341455325484276,0.7400994629574393,97.4,0.9312005845858737,0.9564217660811366,0.11337712742388242,1.0,0.0,373.90537338368597,1270.0,0.9731451912182651,3.0,0.8,21.0,1.0,1.0,,1.0,,0.001,1.4905841313918724e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,149058413139187234484189006142757446979_eps0_s0,BPI2012_C
134.61401060782373,0.8748475287458829,0.7314048575479614,0.034311269787992635,0.6250549754089443,26.922802121564747,14499553.246611873,2.0288969725370407,0.49395087046227515,0.33097169184472464,0.6682169262659807,29.12146785072982,4.347001457214356,0.6190879276771919,97.4,0.818402400446469,0.9120611232072949,0.1140602227300405,1.0,0.0,38.94039342403412,1270.0,0.9513256430385029,5.0,0.8,21.0,1.0,1.0,,1.0,,0.001,1.4905841313918724e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,149058413139187234484189006142757446979_eps1_s0,BPI2012_C
134.61401060782373,0.8955410170103184,0.7713882031711699,0.034311269787992635,0.6726681556697427,26.922802121564747,14499921.99673827,2.0288969725370407,0.5212780292366178,0.31425646873843305,0.7144805114453667,34.30171219781041,4.428228563815355,0.6277243792557374,97.4,0.8477828493457705,0.9262640274767199,0.11467170640826223,1.0,0.0,35.3872428111732,1270.0,0.9604290640096511,7.0,0.8,21.0,1.0,1.0,,1.0,,0.001,1.4905841313918724e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,149058413139187234484189006142757446979_eps2_s0,BPI2012_C
134.61401060782373,0.8859188703773642,0.7007304593079391,0.034311269787992635,0.5748375074053171,26.922802121564747,14500189.93285108,2.0288969725370407,0.5155360984021184,0.4231074016318323,0.6225137731315972,20.72633926384151,4.690846509858966,0.7166248875960892,97.4,0.8255039044265775,0.921785265639347,0.11316210180521007,1.0,0.0,13.317197256535291,1270.0,0.96014034475959,11.0,0.8,21.0,1.0,1.0,,1.0,,0.001,1.4905841313918724e+38,42.0,5.0,1.2,min_freq_conf,['None'],"['nap', 'rtp']",PROB_LEN_DIST,149058413139187234484189006142757446979_eps3_s0,BPI2012_C
