metrics.fit_duration,metrics.rtp_duration,metrics.process_stage_width,metrics.rtp_similarity,metrics.nap_eval_duration,metrics.avg_pruned_patterns_per_stage,metrics.rtp_eval_duration,metrics.rtp_similarity_h_2,metrics.prep_duration,metrics.rtp_similarity_h_20,metrics.avg_unpruned_patterns_per_stage,metrics.rtp_similarity_h_1,metrics.nap_balanced_accuracy,metrics.none_share,metrics.n_process_stages,metrics.total_run_time,metrics.nap_duration,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.nap_accuracy,metrics.rtp_similarity_h_3,params.model_config,params.max_pattern_size_train,params.cv_folds,params.train_pct,params.max_pattern_size_eval,params.weights,params.task,params.ncores,params.filter_sequences,params.cv_hash,params.prune_func,params.base_cv_hash,params.process_stage_width_percentage,params.dataset,params.min_freq,params.break_buffer,params.random_seed,params.weight,params.selection_method
174.49873278662562,72.63571349903941,77.0,0.3242300885633061,0.1650323756039142,0.0,18.472730895504355,0.8733712660231626,0.927440695464611,0.3493446905357966,86584.0,0.9435817795581688,0.462017939966637,6.0510710395740045e-05,1.0,111052.80370541105,66.96752736158669,0.3803912340514837,0.6604687836669855,0.458605833466619,0.524204284158296,0.7998415484820465,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s10,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,1.0,WEIGHTED_PROBS_LEN
174.49873278662562,60.290154449641705,77.0,0.3222159869945283,0.1624395921826362,0.0,18.514707036316395,0.8734584409547312,0.927440695464611,0.3502006461141232,88327.0,0.944700375378925,0.4498294259740504,0.0,1.0,110894.05998746306,65.69868393801153,0.3812433042440636,0.6606969137408024,0.4587718883061953,0.5235949430466892,0.799789483141308,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s10,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,1.0,WEIGHTED_PROBS_LEN
174.49873278662562,60.39737933129072,77.0,0.3230792896949351,0.1638377532362938,0.0,18.57532086782157,0.8722156781813113,0.927440695464611,0.3493678027746115,87953.0,0.9434517292824836,0.4611603597630914,0.0,1.0,110748.87894923054,66.93833000585437,0.3794100813833469,0.6580310012116753,0.4557390061963038,0.5247690495380991,0.7984558618704779,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s10,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,1.0,WEIGHTED_PROBS_LEN
174.49873278662562,60.66824269481003,77.0,0.3272851868025355,0.1553148329257965,0.0,18.372375482693315,0.8755085975422157,0.927440695464611,0.3548739617038933,86381.0,0.9452713276727356,0.4516149689035948,0.0,1.0,110602.29652311094,68.01666381023824,0.3869261913139613,0.6670876465438872,0.4662638145228882,0.5305909011678578,0.8036342586865388,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s10,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,1.0,WEIGHTED_PROBS_LEN
174.49873278662562,61.25494205951691,75.0,0.3236076894261345,0.1597762666642666,0.0,18.739213740453124,0.8736295572553542,0.927440695464611,0.3532429637692763,87204.0,0.9442832994074212,0.471491881990901,0.0,1.0,110454.55240560135,67.17604869045317,0.3841565950462282,0.6627308298132698,0.4617218798270166,0.5306587785789116,0.8004412895667898,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s10,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,1.0,WEIGHTED_PROBS_LEN
174.49873278662562,62.72988764755428,77.0,0.3524319531545379,0.1604196429252624,0.0,17.452007681131363,0.7694453010633178,0.927440695464611,0.361507639472129,86584.0,0.8787627489948855,0.4359283326561294,6.0510710395740045e-05,1.0,110306.71695403756,68.99135699681938,0.3769544488859783,0.5657560713888973,0.4218010786685564,0.3712332082778651,0.6839960754163192,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s9,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,0.9,WEIGHTED_PROBS_LEN
174.49873278662562,65.83316486701369,77.0,0.3559355198025567,0.1537034772336483,0.0,17.76654188707471,0.7802463793377843,0.927440695464611,0.3699005895525257,88327.0,0.884781873600405,0.4553537597882447,0.0,1.0,110156.85580465011,59.40860270522535,0.3864978176369211,0.5764081171669849,0.4300384504151125,0.3844035548879709,0.697398842696269,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s9,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,0.9,WEIGHTED_PROBS_LEN
174.49873278662562,53.67023085989058,77.0,0.3517923443359801,0.1673715338110923,0.0,17.520207408815622,0.7792633001446397,0.927440695464611,0.3649696603575605,87953.0,0.8848204643754658,0.4502814488277526,0.0,1.0,110013.18547443672,59.82000649906695,0.3843810573696517,0.5772641508545242,0.4367604980005369,0.3766507533015066,0.6960414540587244,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s9,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,0.9,WEIGHTED_PROBS_LEN
174.49873278662562,54.79570810310543,77.0,0.3464090997596354,0.166259104385972,0.0,17.99727775901556,0.782181295860317,0.927440695464611,0.3617093063722538,86381.0,0.8879122455730674,0.4603458274023574,0.0,1.0,109881.49967289156,59.31223959289491,0.3807819755286635,0.575182619680207,0.4320689891233411,0.388879205159491,0.6955223043238196,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s9,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,0.9,WEIGHTED_PROBS_LEN
174.49873278662562,52.80037174373865,75.0,0.350548313571842,0.1472771614789962,0.0,17.72176561690867,0.7767100433755004,0.927440695464611,0.3679324631800977,87204.0,0.882189945222084,0.4440535429565112,0.0,1.0,109748.73102208972,60.15594329126179,0.3838144661277541,0.5755568060262831,0.4311087960242851,0.3793060947803044,0.6941509666116195,exhaustive_selection_config,21.0,5.0,0.8,21.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",12.0,1.0,252336560693540533935881068298825202077_eps9_s9,,2.5233656069354052e+38,1.0,BPI2012_WC,1e-15,1.2,42.0,0.9,WEIGHTED_PROBS_LEN
