metrics.total_fit_duration,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_10,metrics.none_share,metrics.rtp_similarity_h_20,metrics.fit_duration_per_fold,metrics.total_run_time,metrics.prep_duration,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_15,metrics.rtp_eval_duration,metrics.nap_duration,metrics.nap_accuracy,metrics.process_stage_width,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_2,metrics.nap_eval_duration,metrics.n_process_stages,metrics.avg_pruned_patterns_per_stage,metrics.rtp_duration,metrics.avg_unpruned_patterns_per_stage,metrics.rtp_similarity_h_1,params.max_pattern_size_eval,params.model_config,params.weights,params.task,params.train_pct,params.max_pattern_size_train,params.filter_sequences,params.selection_method,params.ncores,params.prune_func,params.process_stage_width_percentage,params.cv_hash,params.weight,params.min_freq,params.base_cv_hash,params.random_seed,params.cv_folds,params.dataset,params.break_buffer
84.81302930042148,0.8186135884732223,0.667965336371816,0.3206925277989061,0.5602479877613269,16.962605860084295,14625752.33930834,3.0720825120806694,0.3332896644095767,0.1038302177378159,0.6076575185813863,135.65837788023055,1.4730425141751766,0.5797747111449165,178.0,0.757680445658985,0.8620526344148632,0.1296976115554571,1.0,0.0,26.555910574272275,148.0,0.9173911519711864,21.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps5_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.8239329940589933,0.6821683338466588,0.2799174056525506,0.5794967447286383,16.962605860084295,14625588.191705825,3.0720825120806694,0.3692182762360217,0.1097119432130053,0.6249754461836138,133.62298921495676,1.4754005689173937,0.6108847550745746,178.0,0.7662725944231833,0.8657586661389594,0.1285810992121696,1.0,0.0,25.88267365098,156.0,0.919597248216637,21.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps5_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.822109844589425,0.6732807988970371,0.3090354965937612,0.5643946705874369,16.962605860084295,14625426.76299463,3.0720825120806694,0.3422110577446643,0.1027579767078792,0.6124290146232985,138.94393444806337,1.468108119443059,0.5904625313732521,173.0,0.7623127367141772,0.8647152693621938,0.1293288879096508,1.0,0.0,27.722742542624477,149.0,0.9192015275163368,21.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps5_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.824866652064751,0.6862237356498954,0.2795830778663397,0.5863395899614964,16.962605860084295,14625258.174863936,3.0720825120806694,0.3792576502899782,0.1112898223191006,0.630856210836619,145.68576580658555,1.4865174386650324,0.6131388177588633,178.0,0.767629266325933,0.8665250984924819,0.1314601972699165,1.0,0.0,26.904903752729297,156.0,0.9201156441410004,21.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps5_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.817609202607478,0.6580473450642047,0.3442319668828076,0.5410941495941273,16.962605860084295,14625083.649207829,3.0720825120806694,0.3108046646226369,0.1060109959635959,0.5920242602048306,113.78736620396376,1.4294582810252905,0.5543649485291424,178.0,0.7546533924270926,0.8617292105428888,0.1298552323132753,1.0,0.0,23.08672325499356,143.0,0.9174451665752614,21.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps5_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.8186135884732223,0.667965336371816,0.3206925277989061,0.5602479877613269,16.962605860084295,14624944.885382053,3.0720825120806694,0.3332896644095767,0.1038302177378159,0.6076575185813863,135.82220579124987,1.4414472356438637,0.5797747111449165,178.0,0.757680445658985,0.8620526344148632,0.1315951161086559,1.0,0.0,26.2379114292562,148.0,0.9173911519711864,17.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps4_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.8239329940589933,0.6821683338466588,0.2799174056525506,0.5794967447286383,16.962605860084295,14624780.927573826,3.0720825120806694,0.3692182762360217,0.1097119432130053,0.6249754461836138,134.18762175552547,1.4646516498178244,0.6108847550745746,178.0,0.7662725944231833,0.8657586661389594,0.1311400961130857,1.0,0.0,25.806212335824966,156.0,0.919597248216637,17.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps4_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.822109844589425,0.6732807988970371,0.3090354965937612,0.5643946705874369,16.962605860084295,14624619.0079027,3.0720825120806694,0.3422110577446643,0.1027579767078792,0.6124290146232985,138.54714727029204,1.4435044880956411,0.5904625313732521,173.0,0.7623127367141772,0.8647152693621938,0.1324187293648719,1.0,0.0,27.663044348359108,149.0,0.9192015275163368,17.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps4_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.824866652064751,0.6862237356498954,0.2795830778663397,0.5863395899614964,16.962605860084295,14624450.898347916,3.0720825120806694,0.3792576502899782,0.1112898223191006,0.630856210836619,146.96387009322643,1.481285210698843,0.6131388177588633,178.0,0.767629266325933,0.8665250984924819,0.1316054444760084,1.0,0.0,27.26143779978156,156.0,0.9201156441410004,17.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps4_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.817609202607478,0.6580473450642047,0.3442319668828076,0.5410941495941273,16.962605860084295,14624274.740888966,3.0720825120806694,0.3108046646226369,0.1060109959635959,0.5920242602048306,113.96559673920274,1.4213907048106194,0.5543649485291424,178.0,0.7546533924270926,0.8617292105428888,0.1311325840651989,1.0,0.0,22.690624807029963,143.0,0.9174451665752614,17.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps4_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.8169572505526819,0.6614738991113229,0.3206925277989061,0.553213315255624,16.962605860084295,14624136.207194656,3.0720825120806694,0.3332896644095767,0.0962045344161393,0.6007820885168241,135.60731587558985,1.4078495148569343,0.5797747111449165,178.0,0.7527135732093365,0.8620513550660063,0.131977254524827,1.0,0.0,28.546411644667387,148.0,0.9173907081444368,11.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps3_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
84.81302930042148,0.8221392068631735,0.6752719315973569,0.2799174056525506,0.5720281857542612,16.962605860084295,14623970.183141712,3.0720825120806694,0.3692182762360217,0.1017048553784903,0.6176775684746912,132.38725803419948,1.4883925076574087,0.6108847550745746,178.0,0.7608970258921891,0.8657553785939129,0.1400406993925571,1.0,0.0,27.78385790996253,156.0,0.9195960720828222,11.0,min_freq_conf,['None'],"['nap', 'rtp']",0.8,21.0,1.0,PROB_LEN_DIST,1.0,,1.0,310685035327764322205088059225090241_eps3_s0,,0.01,3.106850353277643e+35,42.0,5.0,BPI2012_Full,1.2
