metrics.fit_duration,metrics.rtp_duration,metrics.process_stage_width,metrics.rtp_similarity,metrics.nap_eval_duration,metrics.avg_pruned_patterns_per_stage,metrics.rtp_eval_duration,metrics.rtp_similarity_h_2,metrics.prep_duration,metrics.rtp_similarity_h_20,metrics.avg_unpruned_patterns_per_stage,metrics.rtp_similarity_h_1,metrics.nap_balanced_accuracy,metrics.none_share,metrics.n_process_stages,metrics.total_run_time,metrics.nap_duration,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.nap_accuracy,metrics.rtp_similarity_h_3,params.max_pattern_size_train,params.cv_folds,params.train_pct,params.max_pattern_size_eval,params.ncores,params.filter_sequences,params.prune_func,params.base_cv_hash,params.process_stage_width_percentage,params.min_freq,params.break_buffer,params.random_seed,params.weight,params.model_config,params.weights,params.task,params.cv_hash,params.dataset,params.selection_method
947.2535028420386,115.92671881057322,97.4,0.33692578349793656,0.20245091505348678,0.0,28.06969047486782,0.8565262869693836,1.9419319611042734,0.3781676714022816,232645.8,0.9256893025715872,0.4165202134421624,3.3761921024480055e-05,1.0,1739.1285686630756,119.57105377689004,0.42224607712209244,0.682158606323539,0.5122451501610448,0.45475233143673216,0.7903014881288116,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.0,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s0,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1100.5569809116423,97.4,0.1889185800740062,0.20012720935046668,0.0,43.67759937606752,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,6010.455415522307,119.65837554037572,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.1,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s1,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1127.321277732402,97.4,0.1889185800740062,0.20206169709563251,0.0,41.278020261600616,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,63157.840561792626,123.20013330727815,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,1.0,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s10,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1101.97463423647,97.4,0.1889185800740062,0.2037932183593511,0.0,43.81889468953013,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,12338.265846079215,120.16883880235255,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.2,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s2,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1102.108159916103,97.4,0.1889185800740062,0.20212164409458633,0.0,43.93915673196316,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,18678.25006379895,120.07348771765828,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.3,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s3,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1109.224511603266,97.4,0.1889185800740062,0.2009043481200933,0.0,42.96978775672615,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,25038.34524942599,119.72597544752061,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.4,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s4,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1108.556227588281,97.4,0.1889185800740062,0.20303207077085972,0.0,41.02401932142675,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,31382.351330386475,118.8643198184669,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.5,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s5,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1098.7865467563272,97.4,0.1889185800740062,0.2135299306362867,0.0,40.70158413797617,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,37697.538865756615,118.41903442591429,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.6,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s6,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1102.6634698219598,97.4,0.1889185800740062,0.20120890699326988,0.0,41.27180605344474,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,43991.6705254063,118.28336286582052,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.7,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s7,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1119.0454986859113,97.4,0.1889185800740062,0.2018628392368555,0.0,41.45566341429949,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,50323.31195777804,118.61270732134581,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.8,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s8,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,1107.9944243196398,97.4,0.1889185800740062,0.20168174430727953,0.0,41.30374956652522,0.9703603709411827,1.9419319611042734,0.8397958927035669,232645.8,0.9817192542692293,0.5843796058071027,3.3761921024480055e-05,1.0,56728.54637245871,117.725327231735,0.8820391549851632,0.9554431751945927,0.9220130681401292,0.7624006623067557,0.9641427217299672,21.0,5.0,0.8,3.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.9,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps0_s9,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,123.68462427705526,97.4,0.33692578349793656,0.19721772186458106,0.0,29.715793097019194,0.8565262869693836,1.9419319611042734,0.3781676714022816,232645.8,0.9256893025715872,0.41410671968404317,3.3761921024480055e-05,1.0,66600.30072711743,117.11883317865431,0.42224607712209244,0.682158606323539,0.5122451501610448,0.45339162323555204,0.7903014881288116,21.0,5.0,0.8,5.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.0,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps1_s0,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,704.6074351787568,97.4,0.298109005962238,0.19525061696767806,0.0,36.276265781745316,0.9257336481486658,1.9419319611042734,0.6853450348011607,232645.8,0.9598702558328706,0.5330327684299214,3.3761921024480055e-05,1.0,69697.16892001666,126.62658763490617,0.7295072426316291,0.8498334889266325,0.7865883353768293,0.7025676681326514,0.8924480498814809,21.0,5.0,0.8,5.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,0.1,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps1_s1,BPI2012_C,WEIGHTED_PROBS_LEN
947.2535028420386,121.05733201727271,97.4,0.38328908596184413,0.1957148097455501,0.0,29.48366884328425,0.8714458288452815,1.9419319611042734,0.4245464848838302,232645.8,0.9305447365535711,0.4441039402773561,3.3761921024480055e-05,1.0,83201.92558396496,116.55791650861502,0.4674709512236677,0.7127185246982491,0.5537007646168831,0.49540375225046046,0.814092915533697,21.0,5.0,0.8,5.0,12.0,1.0,,2.5233656069354052e+38,1.0,1e-15,1.2,42.0,1.0,exhaustive_selection_config,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]","['nap', 'rtp']",252336560693540533935881068298825202077_eps1_s10,BPI2012_C,WEIGHTED_PROBS_LEN
