run_id,start_time,end_time,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,params.max_pattern_size_train,metrics.n_process_stages,metrics.process_stage_width,metrics.avg_unpruned_patterns_per_stage,metrics.avg_pruned_patterns_per_stage,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,params.cv_folds,params.task,params.min_freq,params.train_pct,params.random_seed,params.ncores,params.model_config,params.prune_func,params.break_buffer,params.filter_sequences,params.base_cv_hash,params.cv_hash
baab375c72bb443983c68de90c713f81,2025-05-25 04:12:20.558000+00:00,2025-05-25 04:19:10.619000+00:00,BPI2012_C,0.0,3,21,98.0,1.0,3982.591836734694,0.0,0.7702774888245382,0.5848853315474264,0.2641636298087337,0.9801721631331018,0.9651436616768732,0.9535183015526938,0.9307035317515903,0.8576088183236789,0.7712725304041355,0.6809205810770895,2.8114369254125783e-05,2.1036806579795666,158.75656989900745,139.59034901799168,222.6693796790205,0.07947154901921749,47.651992161991075,2263.8598515230115,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_0
3412dd89121b420bbb70b4944a94df05,2025-05-25 04:04:47.671000+00:00,2025-05-25 04:12:20.542000+00:00,BPI2012_C,0.0,3,21,98.0,1.0,3990.4285714285716,0.0,0.7666809789609275,0.576706150127087,0.25874172112676624,0.9798953263062002,0.9651115937990657,0.9537220177339532,0.9304261013816193,0.8562617074107962,0.7685091040750116,0.6761531034609838,2.8624588521540003e-05,2.1036806579795666,158.75656989900745,148.0259302619961,258.48571111200727,0.07112199300900102,46.21556095400592,1853.7828728489985,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_0
a76e91babfcf49c88950535c129f3082,2025-05-25 03:58:10.927000+00:00,2025-05-25 04:04:47.656000+00:00,BPI2012_C,0.0,3,21,90.0,1.0,4318.7,0.0,0.7725428063153214,0.5862631223221229,0.2648293001584415,0.9806668923432945,0.9653521305940205,0.9529906610933043,0.9290849355950013,0.852111603491205,0.7611222538096264,0.6659298402385493,5.55926173004225e-05,2.1036806579795666,158.75656989900745,134.49326407100307,217.07563534501242,0.0698962640017271,45.023344191984506,1400.8974391009833,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_0
ec596f7ef7a74fb7bc3cd0e22cecafdf,2025-05-25 03:50:52.587000+00:00,2025-05-25 03:58:10.911000+00:00,BPI2012_C,0.0,3,21,98.0,1.0,3963.7755102040815,0.0,0.7686339318226381,0.5806112308824519,0.27674905045202075,0.9796052740242953,0.9639581058838446,0.9512977043552235,0.9253081599549361,0.84325895701612,0.7469353435148004,0.6468688667911286,0.0,2.1036806579795666,158.75656989900745,137.10555282299174,256.7569095309882,0.07556158100487664,44.30525331199169,1004.1512312809937,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_0
8b4a37ee25114c0289d54cc99f6d082c,2025-05-25 03:44:06.191000+00:00,2025-05-25 03:50:52.561000+00:00,BPI2012_C,0.0,3,21,98.0,1.0,3972.295918367347,0.0,0.767197560149102,0.5759766273340626,0.2597206519343316,0.9806741690727568,0.9656191480743753,0.953786908290323,0.9309693000561963,0.857994278463935,0.7721646073627613,0.6827094058459108,5.6478030046311986e-05,2.1036806579795666,158.75656989900745,139.1257548930007,222.38451252802042,0.06875555499573238,44.716687452979386,565.7990154029976,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_0
8bc821ee8f2b4318ba0a9d214190d5c2,2025-05-25 04:41:16.483000+00:00,2025-05-25 04:46:32.568000+00:00,BPI2012_C,0.0,5,21,98.0,1.0,3982.591836734694,0.0,0.5212122916022379,0.5003293969685993,0.4319480909219056,0.937984272689623,0.888020224684441,0.8371141164168512,0.7487015455554273,0.6001920530333723,0.513092748877166,0.4718933882144258,2.8114369254125783e-05,2.1036806579795666,158.75656989900745,134.74899322999408,141.10866006099968,0.06796822900651023,40.09535822199541,3905.816047228989,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_1
4b3fbedbf02d4b8ea9200159b94c1d7e,2025-05-25 04:35:37.793000+00:00,2025-05-25 04:41:16.467000+00:00,BPI2012_C,0.0,5,21,98.0,1.0,3990.4285714285716,0.0,0.5207385143838558,0.49195022741877875,0.4324849892119871,0.9374141825212182,0.8880871152070646,0.8357831437192279,0.7474869048244888,0.6002880245402439,0.5141104676515887,0.4724155934318241,2.8624588521540003e-05,2.1036806579795666,158.75656989900745,147.3867470890109,151.365855097014,0.06730619500740431,39.79529592199833,3589.715855736984,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_1
eb226adb4e4f4423810c579bf4f98eab,2025-05-25 04:30:18.558000+00:00,2025-05-25 04:35:37.778000+00:00,BPI2012_C,0.0,5,21,90.0,1.0,4318.7,0.0,0.5224594173893707,0.49558882479687516,0.42674149262182526,0.9377325999981759,0.8876917616349241,0.8359009402709543,0.7462392241649036,0.5954930630862482,0.5082155756981048,0.4662506635864884,5.55926173004225e-05,2.1036806579795666,158.75656989900745,134.5169179730001,144.58992998799658,0.06938237600843422,39.98547846899601,3251.027829711995,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_1
ed9cdcfdb5374f5885a1b679e4e57be7,2025-05-25 04:25:03.242000+00:00,2025-05-25 04:30:18.544000+00:00,BPI2012_C,0.0,5,21,98.0,1.0,3963.7755102040815,0.0,0.52340270580656,0.497418778119532,0.43225359786648376,0.9395490557101288,0.8918832591030502,0.8407773695470488,0.7532695665860089,0.6055499662262541,0.5230864379387816,0.47977414282807057,0.0,2.1036806579795666,158.75656989900745,135.4403855370183,140.22274702601135,0.06638367398409173,39.51222264597891,2931.793285535008,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_1
0b3e815ca88e4a06b8eac53cdae5d380,2025-05-25 04:19:10.635000+00:00,2025-05-25 04:25:03.226000+00:00,BPI2012_C,0.0,5,21,98.0,1.0,3972.295918367347,0.0,0.5252456794307014,0.48992044035280663,0.4322067438749894,0.938597106441282,0.8885882796235622,0.8385019347090805,0.7509779979989454,0.6028755186328947,0.5167328543897113,0.47332109812111534,5.6478030046311986e-05,2.1036806579795666,158.75656989900745,137.79723319900222,174.73263086698717,0.07212719801464118,39.929640689020744,2616.47561651899,5,"['nap', 'rtp']",1e-15,0.8,42,12,exhaustive_config,None,1.2,True,252336560693540533935881068298825202077,252336560693540533935881068298825202077_1
