metrics.total_run_time,metrics.fit_duration,metrics.none_share,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.prep_duration,metrics.nap_duration,metrics.nap_eval_duration,metrics.rtp_duration,metrics.rtp_eval_duration,metrics.process_stage_width,metrics.n_process_stages,metrics.avg_unpruned_patterns_per_stage,metrics.avg_pruned_patterns_per_stage,params.dataset,params.task,params.max_pattern_size_train,params.max_pattern_size_eval,params.process_stage_width_percentage,params.selection_method,params.weight,params.weights,params.min_freq,params.train_pct,params.random_seed,params.filter_sequences,params.break_buffer,params.prune_func,params.ncores,params.cv_hash,params.base_cv_hash,params.cv_folds
111052.80370541105,174.49873278662562,6.0510710395740045e-05,0.524204284158296,0.462017939966637,0.3242300885633061,0.927440695464611,66.96752736158669,0.1650323756039142,72.63571349903941,18.472730895504355,77.0,1.0,86584.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,1.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s10,2.523365606935405e+38,5.0
110894.05998746306,174.49873278662562,0.0,0.5235949430466892,0.4498294259740504,0.3222159869945283,0.927440695464611,65.69868393801153,0.1624395921826362,60.290154449641705,18.514707036316395,77.0,1.0,88327.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,1.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s10,2.523365606935405e+38,5.0
110748.87894923054,174.49873278662562,0.0,0.5247690495380991,0.4611603597630914,0.3230792896949351,0.927440695464611,66.93833000585437,0.1638377532362938,60.39737933129072,18.57532086782157,77.0,1.0,87953.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,1.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s10,2.523365606935405e+38,5.0
110602.29652311094,174.49873278662562,0.0,0.5305909011678578,0.4516149689035948,0.3272851868025355,0.927440695464611,68.01666381023824,0.1553148329257965,60.66824269481003,18.372375482693315,77.0,1.0,86381.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,1.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s10,2.523365606935405e+38,5.0
110454.55240560135,174.49873278662562,0.0,0.5306587785789116,0.471491881990901,0.3236076894261345,0.927440695464611,67.17604869045317,0.1597762666642666,61.25494205951691,18.739213740453124,75.0,1.0,87204.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,1.0,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s10,2.523365606935405e+38,5.0
110306.71695403756,174.49873278662562,6.0510710395740045e-05,0.3712332082778651,0.4359283326561294,0.3524319531545379,0.927440695464611,68.99135699681938,0.1604196429252624,62.72988764755428,17.452007681131363,77.0,1.0,86584.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,0.9,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s9,2.523365606935405e+38,5.0
110156.85580465011,174.49873278662562,0.0,0.3844035548879709,0.4553537597882447,0.3559355198025567,0.927440695464611,59.40860270522535,0.1537034772336483,65.83316486701369,17.76654188707471,77.0,1.0,88327.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,0.9,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s9,2.523365606935405e+38,5.0
110013.18547443672,174.49873278662562,0.0,0.3766507533015066,0.4502814488277526,0.3517923443359801,0.927440695464611,59.82000649906695,0.1673715338110923,53.67023085989058,17.520207408815622,77.0,1.0,87953.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,0.9,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s9,2.523365606935405e+38,5.0
109881.49967289156,174.49873278662562,0.0,0.388879205159491,0.4603458274023574,0.3464090997596354,0.927440695464611,59.31223959289491,0.166259104385972,54.79570810310543,17.99727775901556,77.0,1.0,86381.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,0.9,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s9,2.523365606935405e+38,5.0
109748.73102208972,174.49873278662562,0.0,0.3793060947803044,0.4440535429565112,0.350548313571842,0.927440695464611,60.15594329126179,0.1472771614789962,52.80037174373865,17.72176561690867,75.0,1.0,87204.0,0.0,BPI2012_WC,"['nap', 'rtp']",21.0,21.0,1.0,WEIGHTED_PROBS_LEN,0.9,"[[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]]",1e-15,0.8,42.0,1.0,1.2,,12.0,252336560693540533935881068298825202077_eps9_s9,2.523365606935405e+38,5.0
