params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,params.random_seed,params.ncores,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
252336560693540533935881068298825202077_eps2_s4,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.5561804344113284,0.5203666618132539,0.43045335062331996,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.44345465861261,114.62466205172241,0.19659615792334076,30.12726309709251,93330.63890265748,0.0,232645.8
252336560693540533935881068298825202077_eps2_s5,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.5556837822545944,0.5197867967806902,0.4291393217354617,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.52798640169203,113.84612746462226,0.20093830637633797,30.107557960227133,94643.11610967368,0.0,232645.8
252336560693540533935881068298825202077_eps2_s6,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.5556893415163244,0.5198049127227191,0.42916370151274236,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,116.83199504315853,113.47425083704293,0.197274575009942,30.175160091370344,95951.55629684143,0.0,232645.8
252336560693540533935881068298825202077_eps2_s7,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.5557005872640262,0.5198405252583317,0.4291707301050559,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.10321974344552,113.16828447952867,0.19718704037368293,30.41234524846077,97258.45808976106,0.0,232645.8
252336560693540533935881068298825202077_eps2_s8,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.5556949643901753,0.5198227189905255,0.4291707301050559,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,116.54606786966323,124.09869960620999,0.19675008431076998,30.092590457201005,98603.74270040057,0.0,232645.8
252336560693540533935881068298825202077_eps2_s9,BPI2012_C,1.0,7.0,42.0,12.0,1.0,97.4,0.5556612271470703,0.5197521971287482,0.429731553031414,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.21955348588526,122.43851606585085,0.20055311284959307,30.210110959410667,99939.6669274602,0.0,232645.8
252336560693540533935881068298825202077_eps3_s0,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.45343545414937053,0.4132475374181867,0.33692578349793656,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,120.27402780763805,119.42667061015963,0.1984316065907478,29.784414024278522,102654.91650669053,0.0,232645.8
252336560693540533935881068298825202077_eps3_s1,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.7374343106009729,0.5877546435386669,0.3219427257771583,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.71173755191266,791.1029799580574,0.20320555791258807,36.62056200057268,106007.82972006612,0.0,232645.8
252336560693540533935881068298825202077_eps3_s10,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.5918732561601617,0.5205560187432606,0.3923051747245065,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,120.11468597576022,115.59709902554751,0.19940395951271053,29.712485399469735,119662.27209003308,0.0,232645.8
252336560693540533935881068298825202077_eps3_s2,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.5885882403383931,0.5523105993670384,0.4473700503695506,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,120.46752385832369,126.64642097242177,0.19819390103220935,30.318551805242898,108776.0546882838,0.0,232645.8
252336560693540533935881068298825202077_eps3_s3,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.5875990316142332,0.5499466766379852,0.44712730870689327,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,117.39739098958671,119.62870947010815,0.20337345153093334,30.18508077338338,110117.53357736394,0.0,232645.8
252336560693540533935881068298825202077_eps3_s4,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.5878532954608742,0.5500235533305255,0.44726655363088313,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,115.55814073644578,123.48016530685126,0.19704513773322102,30.206326733902095,111472.7929665491,0.0,232645.8
252336560693540533935881068298825202077_eps3_s5,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.5874477335801818,0.5494371562657089,0.4460343259591994,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,120.13065349161624,121.8070397246629,0.1942947711795568,30.124617997184394,112828.6409966033,0.0,232645.8
252336560693540533935881068298825202077_eps3_s6,BPI2012_C,1.0,9.0,42.0,12.0,1.0,97.4,0.5874477335801818,0.5494371562657089,0.4460357571886254,,,,,,,,3.3761921024480055e-05,1.9419319611042734,947.2535028420386,116.25765944570303,124.31797866895795,0.19653058163821696,30.165471563488246,114198.61022222936,0.0,232645.8
