params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,params.random_seed,params.ncores,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.nap_eval_duration,metrics.nap_pred_duration,metrics.nap_pred_convert_duration,metrics.nap_n_events_per_second,metrics.rtp_duration,metrics.rtp_eval_duration,metrics.rtp_pred_duration,metrics.rtp_pred_convert_duration,metrics.rtp_n_traces_per_second,metrics.total_run_time,metrics.total_fit_duration,metrics.fit_duration_per_fold,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
200934189435493509245876840523779924304_eps0_s0,BPI2012_C,0.0,3.0,,,95.6,1.0,0.6751513565178612,0.4220994083179299,0.125606305334971,0.13660412394572014,0.927680998982396,,2.5381315851816906,0.12856775941327214,2.4956711859907954,2.5374916113913057,11376.314499544595,8.843766685400624,3.2774450450087897,6.348845551395788,8.843083541386296,4477.953517323129,346048.9341398112,68.35643646598328,13.671287293196656,0.0,139.42543901281442
252036172554514852379917073716435574953_eps0_s0,BPI2012_C,0.0,3.0,,,95.6,1.0,0.7579836755978334,0.5583452178089227,0.2563167070452196,0.015060580262050094,0.9540097839781083,,3.2329716222011484,0.13382525399792938,3.190627377992496,3.232394207594916,8898.668641091552,28.182740182767155,4.06413367082132,25.555472601403018,28.182206381205468,1112.6967437695134,345317.78701961215,71.81100884900661,14.362201769801322,0.0,1104.5265780730897
252336560693540533935881068298825202077_eps0_s0,BPI2012_C,0.0,3.0,,,95.6,1.0,0.7630054497235774,0.5726311774015416,0.2610636507674019,0.007500481379998901,0.9347268830169924,,6.136290262790863,0.13548296220833436,6.0917816841974854,6.135587536997628,4664.100470669153,53.41696295081638,4.387623289192561,50.825164021004454,53.41637182238046,559.0136482249889,342961.2297439918,116.16480117896572,23.232960235793144,0.0,3464.7674418604647
47482295457342411543800303662309855831_eps0_s0,BPI2012_C,0.0,3.0,,,95.6,1.0,0.7630054497235774,0.5726311774015416,0.2610636507674019,0.007500481379998901,0.9537908699712716,,6.061606589402072,0.12310359239345417,6.019760249205865,6.060987501207274,4716.338056755958,53.541933066002095,4.4703017504070885,50.95398845381569,53.541444526007396,557.504017019014,344291.94495210104,115.19984892004868,23.039969784009735,0.0,3464.7674418604647
200934189435493509245876840523779924304_eps1_s0,BPI2012_C,0.0,7.0,,,95.6,1.0,0.6126360433816591,0.4320431711181216,0.23246818001238564,0.13660412394572014,0.927680998982396,,2.5177333410014398,0.12794312881305814,2.4715481606079264,2.5170405734097585,11488.864619920863,6.1283641626010645,2.9263203606009482,3.6625675174058414,6.127731312601827,7766.366160828317,346115.120287976,68.35643646598328,13.671287293196656,0.0,139.42543901281442
252036172554514852379917073716435574953_eps1_s0,BPI2012_C,0.0,7.0,,,95.6,1.0,0.6349222394747537,0.5569328884555852,0.4560569156749555,0.015060580262050094,0.9540097839781083,,3.2644434203975834,0.11811451881658286,3.2225648428080604,3.263730313605629,8810.972963127128,6.866304297407623,2.745014745602384,4.437808346585371,6.865824760578107,6401.585974480394,345428.3453072086,71.81100884900661,14.362201769801322,0.0,1104.5265780730897
252336560693540533935881068298825202077_eps1_s0,BPI2012_C,0.0,7.0,,,95.6,1.0,0.621569208145034,0.5586052106507523,0.4548196365130808,0.007500481379998901,0.9347268830169924,,6.036848111613653,0.11776693119900301,5.993849928409327,6.036131060810294,4745.415516160303,11.930197575618513,3.145731549174525,9.532645206991583,11.929474993608892,2979.705230169055,343153.6671723268,116.16480117896572,23.232960235793144,0.0,3464.7674418604647
47482295457342411543800303662309855831_eps1_s0,BPI2012_C,0.0,7.0,,,95.6,1.0,0.621569208145034,0.5586052106507523,0.4548196365130808,0.007500481379998901,0.9537908699712716,,6.028014010214247,0.12829268637578933,5.9862825748045,6.027235123002901,4745.616126238901,12.261730060004629,3.151270979596302,9.857295683620032,12.261158350203186,2880.730858785566,344485.47939404345,115.19984892004868,23.039969784009735,0.0,3464.7674418604647
200934189435493509245876840523779924304_eps2_s0,BPI2012_C,0.0,11.0,,,95.6,1.0,0.6524470187502945,0.4217047898809721,0.2521406232308039,0.13660412394572014,0.927680998982396,,2.5534663711907344,0.1271375700016506,2.5093735393951646,2.552752236183733,11315.532055401989,5.816125787387136,3.282830513396766,3.2767688159947284,5.815475247823633,8665.182908003331,346175.60674679244,68.35643646598328,13.671287293196656,0.0,139.42543901281442
252036172554514852379917073716435574953_eps2_s0,BPI2012_C,0.0,11.0,,,95.6,1.0,0.6657090477459102,0.5703621162338722,0.4565353345101215,0.015060580262050094,0.9540097839781083,,3.2953018210013396,0.11769616199890151,3.2504082143772393,3.294438411598094,8735.505309981907,6.657809708581771,2.9159046364133245,4.180021726409905,6.657222694798838,6793.35345162523,345494.8516796806,71.81100884900661,14.362201769801322,0.0,1104.5265780730897
