params.cv_hash,params.dataset,params.process_stage_width_percentage,params.max_pattern_size_eval,metrics.n_process_stages,metrics.process_stage_width,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.rtp_similarity_h_1,metrics.rtp_similarity_h_2,metrics.rtp_similarity_h_3,metrics.rtp_similarity_h_5,metrics.rtp_similarity_h_10,metrics.rtp_similarity_h_15,metrics.rtp_similarity_h_20,metrics.none_share,metrics.prep_duration,metrics.fit_duration,metrics.nap_duration,metrics.rtp_duration,metrics.nap_eval_duration,metrics.rtp_eval_duration,metrics.total_run_time,metrics.avg_pruned_patterns_per_stage,metrics.avg_unpruned_patterns_per_stage
47482295457342411543800303662309855831_4,BPI2012_C,0.025,17.0,32.4,3.0,0.6857910407308692,0.5671214161201814,0.48458758923532397,0.9618999305505692,0.9246427771360904,0.8832035965915853,0.8079943502871612,0.6730529792778039,0.5865512106380848,0.537860477790948,3.3761921024480055e-05,2.1348533350101206,220.30694202700397,127.66498162660864,132.96803467160208,0.07245875379885547,39.74292486739578,7783.589005458413,0.0,10026.92787878788
47482295457342411543800303662309855831_5,BPI2012_C,0.025,21.0,32.4,3.0,0.6693892469636894,0.5761632010858431,0.4776301387401861,0.9597602927402533,0.9204133649257784,0.8787806773243384,0.8024951820052518,0.6637953803731286,0.5736913226869287,0.5269619263621393,3.3761921024480055e-05,2.1348533350101206,220.30694202700397,127.81712610720425,128.762522585789,0.07242359980009497,37.536872938997114,9267.519192909409,0.0,10026.92787878788
252036172554514852379917073716435574953_0,BPI2012_C,0.1,3.0,9.8,10.0,0.7665231052993982,0.5872589666678987,0.21226335389929574,0.9821642338514461,0.9707666734102876,0.9636991836104875,0.9519697256380185,0.909785632674628,0.8593311331211572,0.8058591385568489,3.3761921024480055e-05,2.0756396259821486,391.00454031699337,127.2777119315986,356.5327954092063,0.07493643799680286,48.495349325391,1993.8848656540038,0.0,27878.31333333333
252036172554514852379917073716435574953_1,BPI2012_C,0.1,5.0,9.8,10.0,0.5183602192563133,0.4681157650324712,0.3967939630983642,0.9363843298516052,0.8842419755991807,0.8341569775799694,0.7492048209950146,0.6088598604339863,0.5183212854383099,0.46396055719538365,3.3761921024480055e-05,2.0756396259821486,391.00454031699337,121.0604406240047,141.50610414301045,0.07055383420083672,36.79037459879764,3934.8806167050034,0.0,27878.31333333333
252036172554514852379917073716435574953_2,BPI2012_C,0.1,7.0,9.8,10.0,0.5880042209909322,0.5353431866234414,0.4439847041601713,0.9488734250033698,0.8982813208658994,0.852760167661143,0.7656596975958404,0.6142195959883033,0.5299547262459658,0.48704231342687604,3.3761921024480055e-05,2.0756396259821486,391.00454031699337,121.25319985580282,134.6880139383953,0.07420553819392808,36.871094353607624,5429.716371245403,0.0,27878.31333333333
252036172554514852379917073716435574953_3,BPI2012_C,0.1,11.0,9.8,10.0,0.6591109344325659,0.582023804792661,0.4704210901240836,0.9609068979207784,0.9187486659352462,0.8768239661683991,0.7971254811397035,0.6480613869712608,0.561092995144457,0.5141253021983309,3.3761921024480055e-05,2.0756396259821486,391.00454031699337,117.27816407901119,132.51945589240057,0.07110472879721783,37.49471945340629,6890.576705004799,0.0,27878.31333333333
252036172554514852379917073716435574953_4,BPI2012_C,0.1,17.0,9.8,10.0,0.680902229526585,0.5630125377797695,0.48199660087313045,0.9619614296701627,0.9249927960027333,0.8829785201805581,0.8070253703353394,0.6705466210520761,0.5811714249072744,0.5346073341604028,3.3761921024480055e-05,2.0756396259821486,391.00454031699337,127.7833203679882,137.8698750261974,0.07134413840831258,37.432972176000476,8375.09241539819,0.0,27878.31333333333
252036172554514852379917073716435574953_5,BPI2012_C,0.1,21.0,9.8,10.0,0.6711125513631191,0.575482218886274,0.4772289366745765,0.9602652533423998,0.9215887367173579,0.8794752260182397,0.8022082019263841,0.6619798875315508,0.5717126528356078,0.5255988445023855,3.3761921024480055e-05,2.0756396259821486,391.00454031699337,124.24649948379957,137.4643847008061,0.07112817800370977,37.08035167239141,9850.836033071206,0.0,27878.31333333333
200934189435493509245876840523779924304_0,BPI2012_C,0.2,3.0,5.0,19.8,0.7658266870442888,0.5869060981198049,0.21268201273339934,0.9815803800744094,0.9696956688496192,0.9621702966890503,0.9493568124119207,0.9041058999254709,0.850180377235699,0.7931965947035362,3.3761921024480055e-05,2.1414295559807215,564.862785329984,116.43610457220348,438.79197757380314,0.07859559799544513,48.84344893100206,2367.8786502857984,0.0,51690.68
200934189435493509245876840523779924304_1,BPI2012_C,0.2,5.0,5.0,19.8,0.5159575506359215,0.46328732429988595,0.3935237294256528,0.9360569121504467,0.8830833183742376,0.8338692502454936,0.7495277453564212,0.6107549950868162,0.5224427591493186,0.47076710107678144,3.3761921024480055e-05,2.1414295559807215,564.862785329984,115.5495205874031,124.53269426701009,0.07288026899914257,37.87528954819427,4424.470923843595,0.0,51690.68
