approach,params.dataset,training_duration_for_eval,inference_duration_for_eval,metrics.nap_accuracy,metrics.rtp_similarity
Ceci,BPI2012_WC,36.21875333599746,115.99164536898024,0.33946508532010167,0.06303240620640219
Ceci,BPI2012_WC,36.21875333599746,98.55160135598271,0.3471648516710477,0.06756760710919284
Ceci,BPI2012_WC,36.21875333599746,116.2523854880128,0.3427986855973712,0.06290946561986879
Ceci,BPI2012_WC,36.21875333599746,110.2465240249876,0.33356574283888213,0.0640777025458572
Ceci,BPI2012_WC,36.21875333599746,121.22735142099555,0.34608985024958405,0.05630055997518986
Ceci,BPI2012_WC,42.28404309198959,115.52183969900943,0.35029650248093913,0.06841368562045176
Ceci,BPI2012_WC,42.28404309198959,97.25919842699659,0.3496057078482914,0.07154517530761931
Ceci,BPI2012_WC,42.28404309198959,115.90288222700474,0.3481926963853928,0.06580449189070364
Ceci,BPI2012_WC,42.28404309198959,111.05400730200927,0.3392016733484399,0.06474443745064017
Ceci,BPI2012_WC,42.28404309198959,124.23499289999017,0.35212916743698774,0.06006507385246744
Ceci,BPI2012_WC,51.08915491498192,121.54622649998055,0.38097543265157935,0.06805485096802825
Ceci,BPI2012_WC,51.08915491498192,96.8243692330143,0.38064839153836527,0.071987601142401
Ceci,BPI2012_WC,51.08915491498192,115.12926900599268,0.36958273916547835,0.06569457513174723
Ceci,BPI2012_WC,51.08915491498192,114.97209386300528,0.3557608506187903,0.06781889891316124
Ceci,BPI2012_WC,51.08915491498192,121.62001470601535,0.3732667775929007,0.062220087572132855
Ceci,BPI2012_C,93.04658578199451,334.6659798499895,0.15117096347943434,0.06400278887844348
Ceci,BPI2012_C,93.04658578199451,318.660234134004,0.15981107771575784,0.06612166848228204
Ceci,BPI2012_C,93.04658578199451,372.1429512719915,0.16077384923282187,0.06123069316926973
Ceci,BPI2012_C,93.04658578199451,312.192150739982,0.14991176717739,0.06785866447711267
Ceci,BPI2012_C,93.04658578199451,312.39300847100094,0.1557381678527053,0.06507510800498374
Ceci,BPI2012_C,3233.4525759679964,351.64059609100514,0.1506930192021142,0.06135565489424506
Ceci,BPI2012_C,3233.4525759679964,336.6212547150062,0.15812222699298698,0.06380177069205493
Ceci,BPI2012_C,3233.4525759679964,400.6470778750081,0.16588837002446075,0.06165941082047605
Ceci,BPI2012_C,3233.4525759679964,323.8591498459864,0.1582028514607434,0.06543106808686532
Ceci,BPI2012_C,3233.4525759679964,327.9169273310108,0.16200722918784594,0.06389086177733067
Ceci,BPI2012_C,4158.635815982008,357.0440362740046,0.16134836514942788,0.061180503741858114
Ceci,BPI2012_C,4158.635815982008,337.21212260899483,0.1687991985115214,0.06493161056538845
Ceci,BPI2012_C,4158.635815982008,393.8562645119964,0.17775739381810096,0.0615119991727478
Ceci,BPI2012_C,4158.635815982008,332.20299916500517,0.1664099044844682,0.065631728355257
Ceci,BPI2012_C,4158.635815982008,331.21278041201003,0.17686095109002598,0.06355971119564942
Ceci,BPI2012_W,625.0901417599962,601.1571756299963,0.14712770354043256,0.03679792705510144
Ceci,BPI2012_W,625.0901417599962,504.0090681750007,0.14649772616766296,0.03788286904428667
Ceci,BPI2012_W,625.0901417599962,625.4734467639937,0.14415179835740582,0.03439878945796498
Ceci,BPI2012_W,625.0901417599962,629.7616947930073,0.1423648845654306,0.03578361624760338
Ceci,BPI2012_W,625.0901417599962,667.5497340719885,0.14634902734705385,0.033302392484780514
Ceci,BPI2012_W,2698.9234412119986,611.3103109630028,0.14646645543463288,0.037064768128075964
Ceci,BPI2012_W,2698.9234412119986,509.03361315299844,0.14575408288762406,0.037721788891612124
Ceci,BPI2012_W,2698.9234412119986,613.7430554090024,0.1451146983857264,0.034654576231463674
Ceci,BPI2012_W,2698.9234412119986,643.1814415350018,0.14199379754552444,0.03654265079956094
Ceci,BPI2012_W,2698.9234412119986,658.0404063520036,0.14812517620524387,0.03357121462570851
Ceci,BPI2012_W,7198.893171504002,634.4655880919963,0.16197823391651742,0.03642009868473596
Ceci,BPI2012_W,7198.893171504002,541.864840628994,0.1581386036667334,0.037174063815141316
Ceci,BPI2012_W,7198.893171504002,630.714136901006,0.1600679694137638,0.03340156899857481
Ceci,BPI2012_W,7198.893171504002,648.4968765669983,0.15225170302435923,0.03507888342895659
Ceci,BPI2012_W,7198.893171504002,693.2906732370029,0.15895122638849732,0.03203377961450303
