metrics.total_run_time,metrics.total_fit_duration,metrics.fit_duration_per_fold,metrics.none_share,metrics.nap_accuracy,metrics.nap_balanced_accuracy,metrics.rtp_similarity,metrics.prep_duration,metrics.nap_duration,metrics.nap_eval_duration,metrics.nap_pred_duration,metrics.nap_pred_convert_duration,metrics.nap_n_events_per_second,metrics.rtp_duration,metrics.rtp_eval_duration,metrics.rtp_pred_duration,metrics.rtp_pred_convert_duration,metrics.rtp_n_traces_per_second,metrics.process_stage_width,metrics.n_process_stages,metrics.avg_unpruned_patterns_per_stage,metrics.avg_pruned_patterns_per_stage,metrics.peak_ram_train,metrics.peak_ram_test,params.dataset,params.task,params.max_pattern_size_train,params.max_pattern_size_eval,params.process_stage_width_percentage,params.selection_method,params.weight,params.weights,params.min_freq,params.train_pct,params.random_seed,params.filter_sequences,params.break_buffer,params.prune_func,params.ncores,params.cv_hash,params.base_cv_hash,params.cv_folds
691559.832922986,1259.5949521890143,251.91899043780285,0.06340961583071943,0.6955155036023224,0.1413347114819009,0.6521114365140583,15.9356542279711,26.75851385993883,0.5777845410630107,26.35236205800902,26.75345273897983,11287.299383077494,203.44458873593248,402.26121747202706,47.48140019807033,203.43269407306798,6264.495123547102,926.0,1.0,1201.0,0.0,54.4651,53.2427,BPI2019,"['nap', 'rtp']",21,15,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps3_s0,143808228238095277664544419614730890173,5
690926.190847427,1259.5949521890143,251.91899043780285,0.06137205017386477,0.6680868744870053,0.13972889270834285,0.6674717917323505,15.9356542279711,32.15816323098261,0.5340633010491729,31.760033047990873,32.14991447306238,9244.921110640162,312.1448363229865,441.7359736900544,85.09854637901299,312.1271545160562,3450.3409575561486,926.0,1.0,1261.0,0.0,54.4651,56.1849,BPI2019,"['nap', 'rtp']",21,15,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps3_s0,143808228238095277664544419614730890173,5
690139.053646191,1259.5949521890143,251.91899043780285,0.0631199248145719,0.5717912657791361,0.13192246901261248,0.6411662318345477,15.9356542279711,31.74339817801956,0.5153824579901993,31.355122669017874,31.735566125949845,9433.928966646436,336.7154254759662,501.68058661709074,94.21816486900207,336.6970462669851,3139.543212407859,871.0,1.0,1254.0,0.0,54.4651,56.7721,BPI2019,"['nap', 'rtp']",21,11,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps2_s0,143808228238095277664544419614730890173,5
689267.964548931,1259.5949521890143,251.91899043780285,0.06311054461338216,0.5768970086896705,0.13265574663800572,0.6458286222780715,15.9356542279711,25.472478315932676,0.5297972310800105,25.07538744295016,25.467620839946903,11826.696623320822,190.06491910188925,262.23911264608614,52.26511413499247,190.05108174600173,5674.129003794678,926.0,1.0,1213.0,0.0,54.4651,52.8431,BPI2019,"['nap', 'rtp']",21,11,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps2_s0,143808228238095277664544419614730890173,5
688789.206992118,1259.5949521890143,251.91899043780285,0.06262321069282516,0.5738789943975124,0.14382685294885417,0.6449186401684315,15.9356542279711,23.705846666009165,0.5471221089828759,23.324144650017843,23.70143393892795,12657.527400464573,171.75700256391428,213.26347959402483,46.875814834958874,171.746427490958,6298.0451868289965,926.0,1.0,1249.0,0.0,54.4651,52.3556,BPI2019,"['nap', 'rtp']",21,11,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps2_s0,143808228238095277664544419614730890173,5
688379.437260583,1259.5949521890143,251.91899043780285,0.06340961583071943,0.5733760972543007,0.13529177146576232,0.6420462117130347,15.9356542279711,25.672467829077505,0.5199898310238495,25.273735606926493,25.66724604391493,11769.01604994562,207.1627677109791,332.2677669329569,55.45884286693763,207.15051042707637,5363.382728948464,926.0,1.0,1201.0,0.0,54.4651,53.2953,BPI2019,"['nap', 'rtp']",21,11,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps2_s0,143808228238095277664544419614730890173,5
687813.314951625,1259.5949521890143,251.91899043780285,0.06137205017386477,0.5776192957540214,0.1425845727828922,0.6496646057382348,15.9356542279711,30.820587105001323,0.5283922019880265,30.42063526401762,30.813115581986494,9651.968062195623,305.1641036090441,422.1012742869789,83.54396800103132,305.14860105805565,3514.544580841257,926.0,1.0,1261.0,0.0,54.4651,56.2116,BPI2019,"['nap', 'rtp']",21,11,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps2_s0,143808228238095277664544419614730890173,5
687054.173775545,1259.5949521890143,251.91899043780285,0.0631199248145719,0.5730556250464838,0.11721604160194499,0.5620029379458222,15.9356542279711,32.51829189900309,0.5234840500634164,32.13617485098075,32.50946312001906,9204.642474459668,352.4739969650982,542.7704829939175,111.69875051104464,352.4505313069094,2648.212255254829,871.0,1.0,1254.0,0.0,54.4651,56.7607,BPI2019,"['nap', 'rtp']",21,7,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps1_s0,143808228238095277664544419614730890173,5
686125.433173735,1259.5949521890143,251.91899043780285,0.06311054461338216,0.5747692701958126,0.11768606127345486,0.5699924018765845,15.9356542279711,25.397374626947567,0.5587367960251868,25.001955353072844,25.392171012004837,11861.43226847862,201.76834953401703,362.4298408179311,63.047649485990405,201.75717583298683,4703.728091653874,926.0,1.0,1213.0,0.0,54.4651,52.7883,BPI2019,"['nap', 'rtp']",21,7,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps1_s0,143808228238095277664544419614730890173,5
685534.785572419,1259.5949521890143,251.91899043780285,0.06262321069282516,0.5712979209148246,0.12863867137983748,0.5753582573424626,15.9356542279711,24.36065435304772,0.5226614199345931,23.97162083501462,24.355371464043856,12315.646156423947,177.52949933998752,288.4872751139337,55.2611179840751,177.51992292399518,5342.381963482478,926.0,1.0,1249.0,0.0,54.4651,52.2532,BPI2019,"['nap', 'rtp']",21,7,1.0,PROB_LEN_DIST,None,['None'],0.001,0.8,42,True,1.2,None,16,143808228238095277664544419614730890173_eps1_s0,143808228238095277664544419614730890173,5
